Group.1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length
Cyanerpes lucidus,21.8,14.8,3.35,3.3,12.8,57.5
Cyanerpes nitidus,13.4,8.7,2.7,2.85,12.2,50.5
Cyanicterus cyanicterus,26.1,NA,7.5,8.2,21.5,95
Cyanistes caeruleus,NA,NA,NA,NA,NA,66
Cyanistes cyanus,9.3,5.95,3.15,4.85,15.25,69.5
Cyanistes teneriffae,10.5,7.2,3.3,3.7,17,60
Cyanochen cyanoptera,30.55,20.8,16.95,12.85,55.5,326
Cyanocitta cristata,29.5,NA,10.2,8.7,35.2,129
Cyanocitta stelleri,33.35,NA,10.35,9.35,42.6,144
Cyanocompsa parellina,12.7,NA,NA,NA,17.9,68.5
Cyanocorax affinis,38.15,NA,12.25,13.65,50.75,168
Cyanocorax beecheii,41,NA,13.45,15.15,52.5,170.5
Cyanocorax cayanus,35.25,NA,11.95,12.95,50.3,159
Cyanocorax chrysops,35.5,NA,10.95,12.6,48.45,158
Cyanocorax coeruleus,42.5,NA,13.9,15.2,50,197
Cyanocorax colliei,43.3,NA,11.65,14.2,47.4,209
Cyanocorax cristatellus,38,NA,NA,NA,46.65,197
Cyanocorax cyanomelas,NA,NA,NA,NA,48.2,186
Cyanocorax cyanopogon,34.3,NA,10.7,11.7,45.85,143.5
Cyanocorax dickeyi,38.55,NA,10.95,12.4,47.6,171.5
Cyanocorax formosus,41.5,NA,12.65,14.15,47.45,196
Cyanocorax hafferi,29.8,19.4,10.2,13.4,46.6,164
Cyanocorax heilprini,35.9,NA,11.35,12.6,48.85,163.5
Cyanocorax melanocyaneus,33.6,NA,10.7,11.2,41,136
Cyanocorax morio,NA,NA,NA,NA,49.2,203
Cyanocorax mystacalis,37.7,NA,10.8,12.75,45.3,143
Cyanocorax sanblasianus,35.8,NA,10.7,13,41.8,141
Cyanocorax violaceus,39.75,NA,NA,NA,48.4,198
Cyanocorax yncas,NA,NA,NA,NA,38.9,122.25
Cyanocorax yucatanicus,36,NA,11.4,12.8,41.1,142
Cyanoderma bicolor,15.55,NA,3.45,4.05,20.7,58.5
Cyanoderma chrysaeum,12.35,7.1,2.45,2.9,17.65,50.5
Cyanoderma erythropterum,NA,NA,NA,NA,NA,NA
Cyanoderma melanothorax,15.2,NA,3.2,3.9,20.8,54
Cyanoderma pyrrhops,13.9,8.2,2.3,3.15,18.7,53
Cyanoderma ruficeps,15.1,NA,2.5,3.3,19.6,54
Cyanoderma rufifrons,13.9,NA,2.8,3.4,16.8,51
Cyanograucalus azureus,21.3,NA,6.5,6.8,21.2,105
Cyanolanius comorensis,NA,NA,NA,NA,NA,NA
Cyanolanius madagascarinus,18.1,NA,4.5,5.9,18.5,88
Cyanolimnas cerverai,40.5,21.7,4.2,8.2,41.8,103
Cyanoliseus patagonus,30.75,27.55,17.55,36.35,21.2,235.5
Cyanoloxia brissonii,NA,NA,NA,NA,19.1,75.4
Cyanoloxia cyanoides,NA,NA,NA,NA,20.6,80
Cyanoloxia glaucocaerulea,12.7,NA,NA,NA,19.2,71.6
Cyanoloxia rothschildii,NA,NA,NA,NA,19.7,77
Cyanolyca argentigula,28.2,NA,NA,9.2,35,117
Cyanolyca armillata,30.15,NA,9.4,10.35,42.5,138
Cyanolyca cucullata,32.25,NA,11.25,11.35,40.2,125
Cyanolyca mirabilis,23.5,NA,6.65,8.25,32.1,106
Cyanolyca nanus,24.1,NA,NA,7.35,32.4,112.5
Cyanolyca pulchra,30.85,NA,9.95,11.5,41.5,131
Cyanolyca pumilo,27,NA,7.5,8.4,32.8,117
Cyanolyca quindiuna,26.2,13.8,7.8,9.4,38.6,130
Cyanolyca turcosa,33.2,NA,NA,NA,41,136
Cyanolyca viridicyanus,NA,NA,NA,NA,NA,139
Cyanomitra alinae,29.3,NA,3.8,3.4,15.7,62
Cyanomitra bannermani,23.65,16.5,3.8,3.45,17.95,69
Cyanomitra cyanolaema,NA,NA,NA,NA,NA,68
Cyanomitra olivacea,NA,NA,NA,NA,NA,NA
Cyanomitra oritis,28.9,NA,3.6,3.4,18.8,61
Cyanomitra verreauxii,25.5,NA,3.4,3.3,16,59
Cyanomitra verticalis,24.6,NA,NA,NA,17.2,62
Cyanophaia bicolor,19.1,NA,2.1,1.7,4.4,59
Cyanopica cooki,NA,NA,NA,NA,NA,131.5
Cyanopica cyanus,29.9,NA,9.1,NA,35.3,140
Cyanopsitta spixii,33,NA,NA,NA,22,NA
Cyanoptila cumatilis,NA,NA,NA,NA,NA,NA
Cyanoptila cyanomelana,14.5,8.1,4.7,4.25,14.55,91
Cyanoramphus auriceps,14.1,NA,7.7,12.6,16.9,106
Cyanoramphus forbesi,19.6,15.6,11.8,20.5,18.8,120
Cyanoramphus malherbi,13.8,10.55,7.4,12.85,17.6,98
Cyanoramphus novaezelandiae,16.6,NA,NA,NA,NA,NA
Cyanoramphus unicolor,21.2,18.3,12.9,22.3,24.35,140
Cyclarhis gujanensis,NA,NA,NA,NA,22.7,75.5
Cyclarhis nigrirostris,18.5,NA,NA,NA,22.8,77
Cyclopsitta amabilis,15.35,12.65,10.05,13.75,11.9,78
Cyclopsitta coxeni,17.7,15.35,12.3,18.95,12.75,96.5
Cyclopsitta diophthalma,17.95,NA,11.35,17.15,12.75,89.5
Cyclopsitta gulielmitertii,18.2,14,9.3,16.1,13.3,NA
Cyclopsitta melanogenia,16.3,NA,8.8,13.1,11,77
Cyclopsitta nigrifrons,14.85,12.35,8.9,13.35,12.6,81
Cygnus atratus,72.35,39.85,24.4,21.1,86.75,461
Cygnus buccinator,NA,NA,NA,NA,108.5,643.5
Cygnus columbianus,101.3,NA,30.7,20.3,NA,NA
Cygnus cygnus,101,NA,NA,NA,NA,NA
Cygnus melancoryphus,74.4,NA,23.9,18.2,79.5,420
Cygnus olor,97,NA,NA,NA,NA,NA
Cymbilaimus lineatus,NA,NA,8.5,8.8,25.9,76
Cymbilaimus sanctaemariae,NA,13.4,7.15,7.45,24.9,71.4
Cymbirhynchus affinis,NA,NA,NA,NA,NA,NA
Cymbirhynchus macrorhynchos,NA,NA,13.6,12.7,24.9,101.7
Cynanthus doubledayi,18.4,NA,NA,NA,NA,NA
Cynanthus latirostris,20.7,NA,NA,NA,NA,NA
Cynanthus lawrencei,21.5,NA,NA,NA,NA,NA
Cynanthus sordidus,22.5,NA,2.3,1.8,NA,55.3
Cyornis banyumas,15.05,10.05,4.55,3.7,15.75,71.5
Cyornis brunneatus,15.9,NA,4.7,4.4,16.1,77
Cyornis caerulatus,15.4,10.6,5.1,4.8,17.1,72
Cyornis camarinensis,NA,NA,NA,NA,NA,NA
Cyornis colonus,15.35,10,4.35,4.25,18.4,73
Cyornis concretus,18.65,NA,NA,NA,20.65,80.45
Cyornis djampeanus,16.8,9.6,4.7,4,20.1,76
Cyornis glaucicomans,13.85,7.75,4.5,3.8,17.5,78.55
Cyornis hainanus,13.85,NA,NA,NA,16.55,69.3
Cyornis herioti,15.65,10.25,5.2,4.85,18.95,75
Cyornis hoevelli,18,10.75,5.95,4.7,19.45,85
Cyornis hyacinthinus,15.5,NA,4.9,4.3,19.9,86
Cyornis lemprieri,16.3,NA,5.1,4.3,18.7,73
Cyornis magnirostris,14.4,9.85,5.2,4.35,19.1,78
Cyornis nicobaricus,17.1,11,4.8,4.8,16.6,79
Cyornis olivaceus,14.2,NA,5,3.7,16.8,71
Cyornis omissus,15.7,10.3,4.8,4.3,17.9,75
Cyornis oscillans,14.1,9,4.9,3.8,16.1,76
Cyornis pallidipes,16.1,NA,4.5,3.9,17.5,72
Cyornis poliogenys,13.85,8.65,4.2,3.45,18.9,71
Cyornis rubeculoides,13.5,NA,4.3,3.6,16.4,67.5
Cyornis ruckii,16.75,NA,NA,NA,NA,76.05
Cyornis ruficauda,15.9,NA,4.7,4.2,15.2,75.5
Cyornis rufigastra,14.05,8.4,4.85,3.55,16.95,69.5
Cyornis sanfordi,16.7,9.9,5.3,4.15,17.55,83.25
Cyornis stresemanni,NA,NA,NA,NA,NA,NA
Cyornis sumatrensis,NA,NA,NA,NA,NA,NA
Cyornis superbus,NA,NA,4.6,3.9,15.55,71
Cyornis tickelliae,14.5,NA,4.2,3.5,17.9,73
Cyornis turcosus,NA,9.75,5,3.9,18.15,73.5
Cyornis umbratilis,17.2,NA,5.5,4.4,16.2,77
Cyornis unicolor,15.1,NA,NA,NA,16.9,78.55
Cyphorhinus arada,NA,NA,3.7,5,24.3,66
Cyphorhinus dichrous,24,NA,3.9,6.8,27.7,70
Cyphorhinus phaeocephalus,NA,NA,NA,NA,23.9,63
Cyphorhinus thoracicus,24.15,14.8,4.05,5.8,27.25,67.25
Cyphos macrodactylus,26.3,19.2,8.65,9.45,12.45,64.5
Cypseloides cherriei,NA,NA,NA,NA,12.8,125
Cypseloides cryptus,8.6,3.65,3.8,2.45,16.2,138.5
Cypseloides fumigatus,8.6,3.8,3.25,2.45,13.4,146.5
Cypseloides lemosi,8.9,4.7,3.3,3.05,13.3,150.25
Cypseloides niger,9,NA,3.4,2.5,12.2,148
Cypseloides rothschildi,6.95,4.4,3.55,2.7,NA,153.5
Cypseloides senex,7.85,4.85,4.4,2.95,22.7,166
Cypseloides storeri,NA,NA,NA,NA,NA,NA
Cypsiurus balasiensis,6.8,NA,3.5,2.2,9.2,114.5
Cypsiurus gracilis,5.6,2.3,2.3,1.6,11.5,124
Cypsiurus parvus,7.15,2.7,2.95,1.6,9.35,135
Cypsnagra hirundinacea,17.3,NA,4.6,5.9,22,76
Cyrtonyx montezumae,16,NA,9.1,9.4,28.5,119
Cyrtonyx ocellatus,15.6,NA,7,9.2,29.1,120
Cyrtonyx sallei,14.6,8.1,6.4,8.8,26.8,112.3
Dacelo gaudichaud,54.2,41.9,18.35,18.9,17.35,129
Dacelo leachii,83.15,NA,24.7,26.4,26.7,196.5
Dacelo novaeguineae,68,NA,21.8,23.8,26.6,214
Dacelo tyro,51.25,38.4,18.55,19.85,21.4,147.5
Dacnis albiventris,11.1,NA,NA,NA,13.1,58
Dacnis berlepschi,14.15,8.8,3.6,4.45,15.2,63
Dacnis cayana,NA,NA,NA,NA,15.2,62.8
Dacnis egregia,12.6,NA,3.3,3.6,13.6,63
Dacnis flaviventer,13.9,NA,NA,NA,14.65,60.75
Dacnis hartlaubi,12.2,NA,4,4,15.1,64.5
Dacnis lineata,13.05,NA,NA,NA,14,58.5
Dacnis nigripes,14.7,8.4,3.4,3.45,14.05,59.5
Dacnis venusta,NA,NA,3.75,3.9,14.8,64.5
Dacnis viguieri,13,NA,3.8,3.4,NA,57
Dactylortyx thoracicus,16,NA,6.9,7.8,32.5,126
Daphoenositta chrysoptera,14.65,NA,2.8,NA,NA,78
Daphoenositta miranda,11.6,NA,2.7,3.4,17.9,83
Daphoenositta papuensis,13.8,9.25,2.95,3.6,15.85,78.5
Daption capense,35.65,NA,10.7,9.25,42.05,250
Daptrius ater,32.35,NA,11.95,15.05,47.5,NA
Dasycrotapha plateni,11.65,6.8,2.95,3.2,14.85,53.95
Dasycrotapha pygmaea,11.1,NA,2.8,3.2,15.35,50
Dasycrotapha speciosa,15.4,9.75,3.4,4.55,18.35,66.3
Dasylophus superciliosus,35.5,NA,12.6,16.1,36,154
Dasyornis brachypterus,17.65,NA,3.5,NA,NA,73
Dasyornis broadbenti,NA,NA,NA,NA,NA,90
Dasyornis longirostris,NA,NA,NA,NA,NA,67
Deconychura longicauda,NA,NA,5.7,5.5,23.3,104
Deconychura pallida,NA,NA,NA,6,24.75,107
Deconychura typica,NA,14.75,5.1,4.55,20.9,91.95
Deleornis axillaris,17.7,12.1,3.15,3.35,15.5,64.5
Deleornis fraseri,NA,NA,NA,NA,NA,67
Delichon dasypus,9.3,NA,NA,NA,10.7,105
Delichon lagopodum,NA,NA,NA,NA,NA,NA
Delichon nipalense,8.55,NA,NA,NA,10.8,93
Delichon urbicum,NA,NA,NA,NA,NA,109
Deltarhynchus flammulatus,17,10.2,6.75,4.3,17.4,76
Dendragapus fuliginosus,26.5,14.4,9.45,NA,40.25,226
Dendragapus obscurus,26.9,15.1,10.55,10.4,38.2,225.5
Dendrexetastes rufigula,NA,NA,8.55,9.3,23.7,105.55
Dendrocincla anabatina,NA,16.5,6.05,6.25,23.7,96.5
Dendrocincla fuliginosa,NA,NA,NA,NA,24.45,104.75
Dendrocincla homochroa,NA,NA,5.3,6.1,24.4,98
Dendrocincla merula,NA,NA,5.7,NA,24.9,100.5
Dendrocincla turdina,NA,NA,NA,7.5,21.8,103.6
Dendrocincla tyrannina,NA,NA,NA,NA,25.55,NA
Dendrocitta bayleii,28.15,NA,9.45,11.5,27.55,116.5
Dendrocitta cinerascens,33.3,NA,12.2,15.35,30.8,144
Dendrocitta formosae,33.45,NA,11.95,14.5,30.45,140
Dendrocitta frontalis,32.1,NA,9.7,14.7,30.5,128
Dendrocitta leucogastra,35.2,NA,11.7,14.7,30.6,139
Dendrocitta occipitalis,33.35,NA,12.1,14.75,29.45,140.5
Dendrocitta vagabunda,NA,NA,11.05,13.9,33.7,158.5
Dendrocolaptes certhia,NA,NA,9.45,8.1,27.55,125.7
Dendrocolaptes hoffmannsi,NA,27.1,8.4,8.4,29.1,135.9
Dendrocolaptes picumnus,NA,NA,NA,NA,28.7,130.7
Dendrocolaptes platyrostris,NA,NA,NA,8.05,25.8,119
Dendrocolaptes punctipectus,42,29.1,9.1,8.8,29.7,131
Dendrocolaptes sanctithomae,NA,NA,8.8,8.2,29.5,126
Dendrocopos analis,19.55,16.15,5.65,5.7,16.65,90.5
Dendrocopos assimilis,26.2,NA,6.3,6.5,20.1,115
Dendrocopos atratus,25.8,NA,6.9,6.7,17.6,115
Dendrocopos darjellensis,32.3,NA,8,7,23.5,127
Dendrocopos himalayensis,30.3,NA,7.5,7.2,23.2,128
Dendrocopos hyperythrus,24.9,NA,5.7,6,19.9,117
Dendrocopos leucopterus,30.1,NA,7.3,7.2,22.7,126
Dendrocopos leucotos,35.2,NA,9,8.4,24.3,143
Dendrocopos macei,22.8,NA,6.4,6.3,18.5,106
Dendrocopos major,27.25,NA,NA,NA,23.15,NA
Dendrocopos noguchii,36.8,NA,9.3,8.8,29,153.5
Dendrocopos owstoni,38.8,30.25,9.7,9,27.45,151
Dendrocopos syriacus,29.6,NA,6.6,6.5,21.6,124
Dendrocygna arborea,53.05,38.1,19.6,16.6,65.05,258.5
Dendrocygna arcuata,41.9,NA,15.4,13.9,44.5,184
Dendrocygna autumnalis,51.1,NA,18.5,15.65,51.75,240
Dendrocygna bicolor,47.55,NA,17.65,15,49.05,220.5
Dendrocygna eytoni,41.9,30.3,16.45,15.15,54.75,236
Dendrocygna guttata,42.2,NA,16.8,13.9,44,207
Dendrocygna javanica,43.1,NA,15.75,13.1,41.3,195.5
Dendrocygna viduata,NA,NA,NA,NA,NA,NA
Dendronanthus indicus,17.4,NA,3.3,3.3,20.4,79
Dendroperdix sephaena,22.9,NA,NA,NA,39.8,144
Dendropicos abyssinicus,16.9,NA,4.9,5,NA,92
Dendropicos dorae,19.6,NA,5.6,5.6,19.7,109
Dendropicos elachus,14.7,NA,4.9,4.9,14.7,78
Dendropicos elliotii,21.6,17.05,5.55,5.75,17.35,91.5
Dendropicos fuscescens,19.85,NA,NA,NA,15.75,91.5
Dendropicos gabonensis,17,13.85,5.05,5.2,14.35,79.5
Dendropicos goertae,25.8,NA,6.2,NA,19.1,107
Dendropicos griseocephalus,25.5,NA,NA,NA,19.2,106
Dendropicos johnstoni,22.8,17.3,5.9,6,18.1,91.4
Dendropicos lugubris,17.4,NA,5.1,5.8,15.4,84
Dendropicos namaquus,33.5,NA,7.5,8,21.4,126
Dendropicos obsoletus,17.4,NA,4.5,4.8,13.5,78
Dendropicos poecilolaemus,18.2,NA,5.1,5.8,14.9,83
Dendropicos pyrrhogaster,28,NA,7.3,7.7,21.4,113
Dendropicos spodocephalus,24.8,NA,5.9,6.2,19.5,108
Dendropicos stierlingi,18.3,15.3,5.05,5.3,15.55,101
Dendropicos xantholophus,29.5,NA,7.2,7.5,20.9,113
Dendroplex kienerii,NA,NA,4.9,6.4,21,99.65
Dendroplex picus,NA,NA,NA,NA,NA,96.65
Dendrortyx barbatus,19.85,11.5,9.6,12.45,46.9,149
Dendrortyx leucophrys,18.95,10.65,8.95,12.1,47.7,150
Dendrortyx macroura,20.5,12.1,13.05,14.6,50.5,169
Deroptyus accipitrinus,NA,NA,19.8,32.7,18.1,189.5
Dessonornis anomalus,16.2,9,3.35,3.8,31.2,74.5
Dessonornis archeri,15.45,8.3,3.5,3.75,29.2,70.5
Dessonornis caffer,19.05,NA,NA,NA,28.35,80.75
Dessonornis humeralis,16.7,NA,3.3,3.9,26.9,75
Dessonornis macclounii,14.2,NA,3.6,4,29.8,71
Dessonornis mbuluensis,NA,NA,NA,NA,NA,NA
Devioeca papuana,11.35,6.85,4.4,3.45,16.75,74.5
Dicaeum aeneum,12.5,8.5,3.3,3.25,11.8,46.5
Dicaeum agile,10.5,NA,3.65,4.35,14.2,60.5
Dicaeum annae,11,6.15,3.35,3.5,14.8,57.5
Dicaeum anthonyi,NA,NA,NA,NA,NA,NA
Dicaeum aureolimbatum,NA,NA,NA,NA,NA,NA
Dicaeum australe,12,NA,3.5,3.7,13.7,53
Dicaeum beccarii,NA,NA,NA,NA,NA,NA
Dicaeum bicolor,9.2,5.55,3.5,3.85,14.05,47.5
Dicaeum cambodianum,NA,NA,NA,NA,NA,NA
Dicaeum celebicum,NA,NA,NA,NA,NA,NA
Dicaeum chrysorrheum,11.9,NA,3.5,3.7,13.2,59
Dicaeum concolor,11.5,NA,2.8,2.9,11.5,46
Dicaeum cruentatum,11,NA,3.3,2.9,12.1,47
Dicaeum dayakorum,NA,NA,NA,NA,NA,NA
Dicaeum erythrorhynchos,11.6,NA,2.4,2.8,11.8,48
Dicaeum erythrothorax,10.6,5.65,2.7,3.25,12.35,52.75
Dicaeum everetti,9.1,6.5,3.3,4.2,14.35,58.5
Dicaeum eximium,9.2,5.4,3,3.25,11.7,50
Dicaeum geelvinkianum,10.9,NA,3.2,3.6,13.9,57
Dicaeum haematostictum,12.35,7.3,2.85,3.25,13.05,54.5
Dicaeum hanieli,NA,NA,NA,NA,NA,NA
Dicaeum hirundinaceum,10.7,NA,NA,NA,NA,59.75
Dicaeum hypoleucum,13.3,NA,2.8,2.9,13.2,52
Dicaeum ignicolle,NA,NA,NA,NA,NA,NA
Dicaeum igniferum,11.65,6.3,2.7,2.85,12.05,49.5
Dicaeum ignipectus,9.5,NA,2.5,2.8,11.9,47
Dicaeum kampalili,11.8,6.6,4.4,4.6,14,55
Dicaeum keiense,NA,NA,NA,NA,NA,NA
Dicaeum luzoniense,NA,NA,NA,NA,NA,NA
Dicaeum maugei,10.2,NA,3.1,3.6,13,55
Dicaeum melanozanthum,10.5,NA,3,3.9,15.8,69
Dicaeum minullum,11.3,7.35,2.9,2.7,10.4,44.5
Dicaeum monticolum,11.3,NA,2.8,2.9,11.8,48
Dicaeum nehrkorni,10.8,6.4,2.85,2.5,11.85,46.75
Dicaeum nigrilore,15.3,9.5,3.3,3.5,16.3,55.7
Dicaeum nitidum,10.35,5.85,3.3,3.55,13.45,55.5
Dicaeum pectorale,10.7,6.15,2.65,3.15,11.8,49.5
Dicaeum proprium,10.7,6.1,3,3.7,14.1,54.4
Dicaeum pygmaeum,10.3,NA,2.6,2.8,11.9,43.5
Dicaeum quadricolor,9.7,6,4.1,4.1,14.5,52
Dicaeum retrocinctum,12.75,8,2.7,2.95,13.2,51
Dicaeum sanguinolentum,10.5,NA,2.5,2.6,12.1,47
Dicaeum schistaceiceps,9.65,5.6,2.8,2.9,12.45,49.25
Dicaeum trigonostigma,NA,NA,3.3,3.25,13.4,49
Dicaeum tristrami,11.7,NA,3.8,3.6,13.9,57
Dicaeum trochileum,11.4,NA,2.5,3.1,12.9,52
Dicaeum vincens,11.55,6.45,3.3,3.9,14.2,55
Dicaeum vulneratum,10.4,NA,3,NA,12.2,50
Dicaeum wilhelminae,NA,NA,NA,NA,NA,NA
Dichrozona cincta,NA,NA,3.5,3.55,21.05,58.95
Dicrurus adsimilis,23,NA,NA,NA,20.2,130
Dicrurus aeneus,21.65,NA,7.75,5.95,16.05,118.5
Dicrurus aldabranus,29,NA,8.5,9.3,24.7,127
Dicrurus andamanensis,30.45,NA,9.5,9.45,22,131.5
Dicrurus annectens,29.9,NA,10.2,10.7,21.4,143
Dicrurus atripennis,NA,NA,NA,NA,NA,114
Dicrurus balicassius,34.2,NA,9.7,11.2,24.1,139.5
Dicrurus bracteatus,NA,NA,10.2,NA,NA,NA
Dicrurus caerulescens,24.85,NA,8.75,7.95,18,117.5
Dicrurus densus,36.8,NA,12.2,NA,26.2,152
Dicrurus forficatus,26.1,NA,8.6,9,21.1,125.5
Dicrurus fuscipennis,32.1,20.6,9.2,11.2,25,143
Dicrurus hottentottus,NA,NA,NA,NA,NA,161
Dicrurus leucophaeus,26.1,NA,9.5,NA,18.7,135
Dicrurus lophorinus,33.45,NA,10.5,11.05,25.85,142.5
Dicrurus ludwigii,20.4,NA,6.7,6.3,17.1,104
Dicrurus macrocercus,25.9,NA,8.5,NA,22.1,142
Dicrurus megarhynchus,42.6,NA,11.4,13.1,28,179
Dicrurus menagei,34.7,23.4,9.1,11.35,25.65,137
Dicrurus modestus,26.3,NA,8.9,8.6,NA,NA
Dicrurus montanus,30.5,NA,9.9,9.3,NA,138
Dicrurus paradiseus,32.2,NA,10,10.8,24.4,145
Dicrurus remifer,26.3,NA,7.8,8.6,19,132
Dicrurus striatus,NA,NA,NA,NA,NA,NA
Dicrurus sumatranus,32.9,NA,9.25,10.3,22.7,149.5
Dicrurus waldenii,NA,NA,10,11.5,25.8,142.5
Didunculus strigirostris,22.6,17.25,10.2,15.15,38.75,189
Diglossa albilatera,12.7,NA,NA,NA,NA,58
Diglossa baritula,NA,NA,NA,4.1,17.3,57
Diglossa brunneiventris,NA,NA,NA,NA,NA,NA
Diglossa caerulescens,NA,NA,NA,NA,20,68.75
Diglossa carbonaria,NA,NA,NA,4.6,22.5,68
Diglossa cyanea,NA,NA,NA,NA,NA,NA
Diglossa duidae,16.15,9.25,2.65,4.95,20.05,73
Diglossa glauca,13.5,NA,NA,NA,17.05,63.75
Diglossa gloriosa,13,NA,2.5,4.2,21.1,64
Diglossa gloriosissima,16.7,10,2,4.3,24.9,72
Diglossa humeralis,14.45,NA,NA,NA,22.1,NA
Diglossa indigotica,13.4,8.2,2.3,4.35,19.65,63
Diglossa lafresnayii,NA,NA,NA,NA,25.1,71
Diglossa major,20.4,11.45,3.3,5.2,24.7,82.5
Diglossa mystacalis,NA,NA,NA,NA,25.15,69
Diglossa plumbea,12.6,NA,2.5,4.4,17.7,55.5
Diglossa sittoides,NA,NA,NA,NA,NA,NA
Diglossa venezuelensis,14.45,8.65,2.55,4.4,22.35,67
Dinemellia dinemelli,23.8,NA,NA,NA,29.8,120
Dinopium benghalense,35.8,NA,8.5,8.6,25.3,142.5
Dinopium everetti,31.15,24.5,9.25,8.75,23.7,137.05
Dinopium javanense,29.1,NA,7.6,7.8,22.9,135
Dinopium psarodes,37.25,27.3,8.45,8.7,24.95,134.7
Dinopium rafflesii,31.65,NA,8.65,8.35,23.15,129.5
Dinopium shorii,38.4,NA,8.3,9,26.4,150
Diomedea amsterdamensis,154,99.4,31.2,38.6,NA,NA
Diomedea antipodensis,149.3,110.7,34.8,43.9,113.5,635
Diomedea dabbenena,149.75,105.05,33.25,45.45,101.5,645
Diomedea epomophora,186.5,136,37.8,49.7,119.5,655
Diomedea exulans,166.5,NA,36.25,49.7,115.85,639
Diomedea sanfordi,174,NA,39,52.25,122,615
Diopsittaca cumanensis,29,NA,NA,NA,NA,NA
Diopsittaca nobilis,31.3,26.15,20.1,30.3,15.5,171.5
Discosura conversii,14.3,10.1,1.25,1.35,6.05,42.5
Discosura langsdorffi,17.6,NA,1.7,1.7,5.4,35
Discosura letitiae,14.3,9.7,0.7,1.1,4.1,37.6
Discosura longicaudus,15.55,NA,1.75,1.75,NA,41.85
Discosura popelairii,16.1,NA,1.3,1.6,3.5,34
Diuca diuca,17.4,11.05,5.3,7.75,21.55,85
Dives dives,NA,NA,NA,NA,36.7,119.5
Dives warczewiczi,NA,21.8,7,10.1,37.1,133
Dolichonyx oryzivorus,16.1,NA,5.9,7.7,26.7,89
Doliornis remseni,18.4,9,4.9,5.1,28.3,97
Doliornis sclateri,19.4,8.1,5,5.7,26.1,102
Donacobius atricapilla,26.4,NA,NA,5.2,30.9,80
Donacospiza albifrons,12.7,NA,3.8,4.5,16.8,59
Doricha eliza,22.95,18.75,1.25,1.3,3.9,38.75
Doricha enicura,21.8,NA,1.4,1.5,3.5,38.2
Doryfera johannae,30.3,NA,NA,NA,5.2,52
Doryfera ludovicae,NA,NA,NA,NA,NA,NA
Drepanis coccinea,29.4,NA,4.3,5.8,23.4,76.5
Drepanoptila holosericea,17.7,NA,3.8,4.3,26.5,149
Drepanorhynchus reichenowi,28.5,NA,3.7,3.5,16.8,78
Drepanornis albertisi,74.8,NA,5.8,7.1,NA,148
Drepanornis bruijnii,78.8,NA,NA,NA,NA,155
Dreptes thomensis,37.55,29.95,4.4,4.45,27.2,86
Dromaius novaehollandiae,78.3,NA,32.5,17.9,NA,NA
Dromas ardeola,62.9,NA,9.9,15.2,88.75,210
Dromococcyx pavoninus,25,NA,5.7,5.2,26.2,130
Dromococcyx phasianellus,26.2,NA,5.45,5.5,31.85,163
Drymocichla incana,13.9,NA,3,2.7,18.9,56
Drymodes beccarii,23.6,NA,4.8,5.3,38.9,96
Drymodes brunneopygia,16.3,NA,3.3,3.8,NA,94
Drymodes superciliaris,18.25,NA,4.15,4.35,39.15,101.25
Drymophila caudata,NA,NA,NA,NA,19.2,54.35
Drymophila devillei,NA,NA,NA,3.8,18.8,51
Drymophila ferruginea,NA,NA,NA,3.9,18.35,53.3
Drymophila genei,NA,8.45,3.3,3.2,20.95,53.75
Drymophila hellmayri,NA,8.7,4.5,4.05,20.35,51.05
Drymophila klagesi,NA,8.2,4.5,4.25,22.3,53.6
Drymophila malura,NA,8.3,3.35,3.45,22.05,55
Drymophila ochropyga,NA,NA,NA,NA,20.15,53
Drymophila rubricollis,NA,8.4,3.85,3.7,18.95,53.4
Drymophila squamata,NA,NA,NA,3.4,19.6,53.7
Drymophila striaticeps,NA,8.8,4.2,3.5,19.1,53.05
Drymornis bridgesii,NA,NA,5.3,6.8,33.2,135
Drymotoxeres pucheranii,NA,NA,5.8,6.95,27.35,121.35
Dryobates cathpharius,17.4,NA,5.3,5.4,15.6,98
Dryobates minor,16.8,NA,NA,NA,14.2,89.5
Dryobates nuttallii,18.8,NA,5.9,5.8,17.7,102
Dryobates pernyii,20.25,15.4,6.1,6.05,19.6,111.5
Dryobates pubescens,17.4,NA,NA,NA,15.6,91
Dryobates scalaris,19.25,14.1,6.8,6.35,NA,97.25
Dryocopus hodgei,46,NA,11.5,10.9,31.8,183
Dryocopus javensis,56.85,NA,14.55,13.1,33.8,225
Dryocopus martius,63.65,NA,NA,NA,34.45,238.25
Dryolimnas cuvieri,44.2,NA,4.6,NA,47.5,138
Dryoscopus angolensis,22.4,NA,6,6.8,23.5,80.5
Dryoscopus cubla,21.05,NA,NA,NA,22.85,78.5
Dryoscopus gambensis,23.4,NA,6.8,7.2,25,91
Dryoscopus pringlii,17.75,NA,4.9,6.05,20.65,68.5
Dryoscopus sabini,NA,NA,8.25,8,24.7,84
Dryoscopus senegalensis,22.15,NA,6.15,6.65,22.45,76.5
Dryotriorchis spectabilis,37.1,28.75,13.45,21.45,63.85,291.5
Dubusia carrikeri,NA,NA,NA,NA,NA,NA
